          State: Lugoj, g: 497.0, h: 244.0, f: 741.0, Order:72
            State: Mehadia, g: 567.0, h: 241.0, f: 808.0, Order:-1
            State: Timisoara, g: 608.0, h: 329.0, f: 937.0, Order:-1
    State: Sibiu, g: 258.0, h: 253.0, f: 511.0, Order:9
      State: Oradea, g: 409.0, h: 380.0, f: 789.0, Order:33
        State: Zerind, g: 480.0, h: 374.0, f: 854.0, Order:56
          State: Oradea, g: 551.0, h: 380.0, f: 931.0, Order:-1
          State: Arad, g: 555.0, h: 366.0, f: 921.0, Order:-1
        State: Sibiu, g: 560.0, h: 253.0, f: 813.0, Order:-1
      State: Arad, g: 398.0, h: 366.0, f: 764.0, Order:27
        State: Zerind, g: 473.0, h: 374.0, f: 847.0, Order:52
          State: Oradea, g: 544.0, h: 380.0, f: 924.0, Order:-1
          State: Arad, g: 548.0, h: 366.0, f: 914.0, Order:-1
        State: Sibiu, g: 538.0, h: 253.0, f: 791.0, Order:-1
        State: Timisoara, g: 516.0, h: 329.0, f: 845.0, Order:83
          State: Arad, g: 634.0, h: 366.0, f: 1000.0, Order:-1
          State: Lugoj, g: 627.0, h: 244.0, f: 871.0, Order:-1
      State: Fagaras, g: 357.0, h: 176.0, f: 533.0, Order:21
        State: Bucharest, g: 568.0, h: 0.0, f: 568.0, Order:-1
        State: Sibiu, g: 456.0, h: 253.0, f: 709.0, Order:44
          State: Oradea, g: 607.0, h: 380.0, f: 987.0, Order:-1
          State: Arad, g: 596.0, h: 366.0, f: 962.0, Order:-1
          State: Fagaras, g: 555.0, h: 176.0, f: 731.0, Order:-1
          State: Rimnicu, g: 536.0, h: 193.0, f: 729.0, Order:90
            State: Craiova, g: 682.0, h: 160.0, f: 842.0, Order:-1
            State: Sibiu, g: 616.0, h: 253.0, f: 869.0, Order:-1
            State: Pitesti, g: 633.0, h: 100.0, f: 733.0, Order:-1
      State: Rimnicu, g: 338.0, h: 193.0, f: 531.0, Order:16
        State: Craiova, g: 484.0, h: 160.0, f: 644.0, Order:60
          State: Drobeta, g: 604.0, h: 242.0, f: 846.0, Order:-1
          State: Rimnicu, g: 630.0, h: 193.0, f: 823.0, Order:-1
          State: Pitesti, g: 622.0, h: 100.0, f: 722.0, Order:-1
        State: Sibiu, g: 418.0, h: 253.0, f: 671.0, Order:39
          State: Oradea, g: 569.0, h: 380.0, f: 949.0, Order:-1
          State: Arad, g: 558.0, h: 366.0, f: 924.0, Order:-1
          State: Fagaras, g: 517.0, h: 176.0, f: 693.0, Order:84
            State: Bucharest, g: 728.0, h: 0.0, f: 728.0, Order:-1
            State: Sibiu, g: 616.0, h: 253.0, f: 869.0, Order:-1
          State: Rimnicu, g: 498.0, h: 193.0, f: 691.0, Order:73
            State: Craiova, g: 644.0, h: 160.0, f: 804.0, Order:-1
            State: Sibiu, g: 578.0, h: 253.0, f: 831.0, Order:-1
            State: Pitesti, g: 595.0, h: 100.0, f: 695.0, Order:-1
        State: Pitesti, g: 435.0, h: 100.0, f: 535.0, Order:42
          State: Craiova, g: 573.0, h: 160.0, f: 733.0, Order:-1
          State: Bucharest, g: 536.0, h: 0.0, f: 536.0, Order:-1
          State: Rimnicu, g: 532.0, h: 193.0, f: 725.0, Order:89
            State: Craiova, g: 678.0, h: 160.0, f: 838.0, Order:-1
            State: Sibiu, g: 612.0, h: 253.0, f: 865.0, Order:-1
